product_id,カテゴリー名,サブカテゴリー名
"1662281950-110",バッグ ,
"1212280900",バッグ ,
"1212280900-020",バッグ ,
"1212280900-040",バッグ ,
"1212280900-050",バッグ ,
"1212282902",,
"121228290223.0010",,
"121228290223.5010",,
"121228290224.0010",,
"121228290223.0050",,
"121228290223.5050",,
"121228290224.0050",,
"1312270033",ニット ,
"1312270033FR010",ニット ,
"1312270033FR030",ニット ,
"1312270033FR090",ニット ,
"1312270040",ニット ,
"1312270040FR010",ニット ,
"1312270040FR030",ニット ,
"1312270040FR040",ニット ,
"1312292022",,
"1312292022-051",,
"1312292022-061",,
"1312292022-111",,
"0172293100",,
"0172293100FR031",,
"0172293100FR060",,
"0172293100FR110",,
"1212240015",ワンピース ,
"1212240015XS010",ワンピース ,
"1212240015S010",ワンピース ,
"1212240015XS020",ワンピース ,
"1212240015S020",ワンピース ,
"1212240015M020",ワンピース ,
"1212240015XS040",ワンピース ,
"1212240015S040",ワンピース ,
"1212240015M040",ワンピース ,
"1662220103",スカート ,
"1662220103M030",スカート ,
"1662220103M050",スカート ,
"1662220103M110",スカート ,
"1312230019",パンツ ,
"1312230019XS010",パンツ ,
